1.116807311773300171e-01 2.759723186492919922e+00 1.134815812110900879e-01 2.303056001663208008e+00 1.166207575798034668e+01
1.118748337030410767e-01 2.301680564880371094e+00 1.134815812110900879e-01 2.301267623901367188e+00 2.012693643569946289e+00
1.116849333047866821e-01 2.301653861999511719e+00 1.134815812110900879e-01 2.302132844924926758e+00 1.725238561630249023e+00
1.113969981670379639e-01 2.301986932754516602e+00 1.134815812110900879e-01 2.302796125411987305e+00 2.261224985122680664e+00
1.105059608817100525e-01 2.301908731460571289e+00 1.134815812110900879e-01 2.302167892456054688e+00 1.776242971420288086e+00
1.104183048009872437e-01 2.302192687988281250e+00 1.134815812110900879e-01 2.301676034927368164e+00 1.937608003616333008e+00
1.113636195659637451e-01 2.302118778228759766e+00 1.134815812110900879e-01 2.303791284561157227e+00 2.017102718353271484e+00
1.100343912839889526e-01 2.302098274230957031e+00 1.134815812110900879e-01 2.301673650741577148e+00 2.165143966674804688e+00
1.101845875382423401e-01 2.302197933197021484e+00 1.028645932674407959e-01 2.301642179489135742e+00 2.047517538070678711e+00
1.103891208767890930e-01 2.302165985107421875e+00 1.134815812110900879e-01 2.302619457244873047e+00 1.873381137847900391e+00
1.111069247126579285e-01 2.302107810974121094e+00 1.134815812110900879e-01 2.302171230316162109e+00 1.949930667877197266e+00
1.103202775120735168e-01 2.302087783813476562e+00 1.134815812110900879e-01 2.301393747329711914e+00 1.727904319763183594e+00
1.109190806746482849e-01 2.302262306213378906e+00 1.134815812110900879e-01 2.301831007003784180e+00 2.040087223052978516e+00
1.113448366522789001e-01 2.302033901214599609e+00 1.028645932674407959e-01 2.302669048309326172e+00 1.988402128219604492e+00
1.095690131187438965e-01 2.302220344543457031e+00 1.134815812110900879e-01 2.301760435104370117e+00 2.001464128494262695e+00
1.109045296907424927e-01 2.302101135253906250e+00 1.028645932674407959e-01 2.302725315093994141e+00 1.895638942718505859e+00
